fecha,Sucursal,bodega,sector,tipo,venta_neta,lineas,facturas
2024-11-01,Medellín,1,IT/Communication,historico,1801058.0,10.0,5.0
2024-12-01,Medellín,1,IT/Communication,historico,663052.0,5.0,3.0
2025-01-01,Medellín,1,IT/Communication,historico,1248345.0,8.0,4.0
2025-02-01,Medellín,1,IT/Communication,historico,4548880.0,14.0,9.0
2025-03-01,Medellín,1,IT/Communication,historico,3524408.0,11.0,9.0
2025-04-01,Medellín,1,IT/Communication,historico,1606773.0,8.0,6.0
2025-05-01,Medellín,1,IT/Communication,historico,1009780.0,6.0,4.0
2025-06-01,Medellín,1,IT/Communication,historico,2655968.58,11.0,7.0
2025-07-01,Medellín,1,IT/Communication,historico,3382795.0,18.0,10.0
2025-08-01,Medellín,1,IT/Communication,historico,1222085.0,7.0,4.0
2025-09-01,Medellín,1,IT/Communication,historico,4029239.0,15.0,8.0
2025-10-01,Medellín,1,IT/Communication,historico,6810356.0,11.0,7.0
